Unnamed: 0,u,i,ts,label,idx
0,135,173,0.0,0.0,1
1,135,175,0.0,0.0,2
2,135,78,0.0,0.0,3
3,135,158,0.0,0.0,4
4,135,190,0.0,0.0,5
5,135,82,0.0,0.0,6
6,135,108,0.0,0.0,7
7,135,162,0.0,0.0,8
8,135,10,0.0,0.0,9
9,135,191,0.0,0.0,10
10,135,26,0.0,0.0,11
11,135,131,0.0,0.0,12
12,135,95,0.0,0.0,13
13,135,144,0.0,0.0,14
14,135,25,0.0,0.0,15
15,135,13,0.0,0.0,16
16,135,121,0.0,0.0,17
17,135,28,0.0,0.0,18
18,135,83,0.0,0.0,19
19,135,41,0.0,0.0,20
20,135,98,0.0,0.0,21
21,135,140,0.0,0.0,22
22,135,65,0.0,0.0,23
23,135,21,0.0,0.0,24
24,135,60,0.0,0.0,25
25,135,94,0.0,0.0,26
26,135,169,0.0,0.0,27
27,135,103,0.0,0.0,28
28,173,175,0.0,0.0,29
29,173,78,0.0,0.0,30
30,173,158,0.0,0.0,31
31,173,190,0.0,0.0,32
32,173,82,0.0,0.0,33
33,173,108,0.0,0.0,34
34,173,162,0.0,0.0,35
35,173,10,0.0,0.0,36
36,173,191,0.0,0.0,37
37,173,26,0.0,0.0,38
38,173,131,0.0,0.0,39
39,173,95,0.0,0.0,40
40,173,144,0.0,0.0,41
41,173,25,0.0,0.0,42
42,173,13,0.0,0.0,43
43,173,121,0.0,0.0,44
44,173,28,0.0,0.0,45
45,173,83,0.0,0.0,46
46,173,41,0.0,0.0,47
47,173,98,0.0,0.0,48
48,173,140,0.0,0.0,49
49,173,65,0.0,0.0,50
50,173,21,0.0,0.0,51
51,173,60,0.0,0.0,52
52,173,94,0.0,0.0,53
53,173,169,0.0,0.0,54
54,173,103,0.0,0.0,55
55,175,78,0.0,0.0,56
56,175,158,0.0,0.0,57
57,175,190,0.0,0.0,58
58,175,82,0.0,0.0,59
59,175,108,0.0,0.0,60
60,175,162,0.0,0.0,61
61,175,10,0.0,0.0,62
